run,arch,sampling,held_out,seed,epochs,batch_size,learning_rate,dataset_sha256,git_commit,git_dirty,device,wall_clock_seconds
geoaware__uniform__holdout-expanded__seed-00,geoaware,uniform,expanded,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.859420624561608
geoaware__uniform__holdout-expanded__seed-01,geoaware,uniform,expanded,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.152515792287886
geoaware__uniform__holdout-expanded__seed-02,geoaware,uniform,expanded,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.928126042708755
geoaware__uniform__holdout-expanded__seed-03,geoaware,uniform,expanded,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.98426637519151
geoaware__uniform__holdout-expanded__seed-04,geoaware,uniform,expanded,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.179569208994508
geoaware__uniform__holdout-hyperbolic__seed-00,geoaware,uniform,hyperbolic,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.07304441742599
geoaware__uniform__holdout-hyperbolic__seed-01,geoaware,uniform,hyperbolic,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.978841166943312
geoaware__uniform__holdout-hyperbolic__seed-02,geoaware,uniform,hyperbolic,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.123149583116174
geoaware__uniform__holdout-hyperbolic__seed-03,geoaware,uniform,hyperbolic,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.002736332826316
geoaware__uniform__holdout-hyperbolic__seed-04,geoaware,uniform,hyperbolic,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.01825875043869
geoaware__uniform__holdout-sinusoidal__seed-00,geoaware,uniform,sinusoidal,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.82195970788598
geoaware__uniform__holdout-sinusoidal__seed-01,geoaware,uniform,sinusoidal,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.083693167194724
geoaware__uniform__holdout-sinusoidal__seed-02,geoaware,uniform,sinusoidal,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.22084083314985
geoaware__uniform__holdout-sinusoidal__seed-03,geoaware,uniform,sinusoidal,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.296961958520114
geoaware__uniform__holdout-sinusoidal__seed-04,geoaware,uniform,sinusoidal,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.273842458613217
geoaware__uniform__holdout-stenosed__seed-00,geoaware,uniform,stenosed,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.931120458059013
geoaware__uniform__holdout-stenosed__seed-01,geoaware,uniform,stenosed,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,14.590484291315079
geoaware__uniform__holdout-stenosed__seed-02,geoaware,uniform,stenosed,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.75310108345002
geoaware__uniform__holdout-stenosed__seed-03,geoaware,uniform,stenosed,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.81830962561071
geoaware__uniform__holdout-stenosed__seed-04,geoaware,uniform,stenosed,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.938994624651968
geoaware__uniform__holdout-straight__seed-00,geoaware,uniform,straight,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.864669582806528
geoaware__uniform__holdout-straight__seed-01,geoaware,uniform,straight,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.6926987497136
geoaware__uniform__holdout-straight__seed-02,geoaware,uniform,straight,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.665547916665673
geoaware__uniform__holdout-straight__seed-03,geoaware,uniform,straight,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.947183791548014
geoaware__uniform__holdout-straight__seed-04,geoaware,uniform,straight,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,13.554459459148347
powerlaw__geo-axial__holdout-expanded__seed-00,powerlaw,geo-axial,expanded,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.152506875805557
powerlaw__geo-axial__holdout-expanded__seed-01,powerlaw,geo-axial,expanded,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.12872274965048
powerlaw__geo-axial__holdout-expanded__seed-02,powerlaw,geo-axial,expanded,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.028364666737616
powerlaw__geo-axial__holdout-expanded__seed-03,powerlaw,geo-axial,expanded,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.138960666023195
powerlaw__geo-axial__holdout-expanded__seed-04,powerlaw,geo-axial,expanded,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.086266124621034
powerlaw__geo-axial__holdout-hyperbolic__seed-00,powerlaw,geo-axial,hyperbolic,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.197405791841447
powerlaw__geo-axial__holdout-hyperbolic__seed-01,powerlaw,geo-axial,hyperbolic,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.02587208338082
powerlaw__geo-axial__holdout-hyperbolic__seed-02,powerlaw,geo-axial,hyperbolic,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.13057287503034
powerlaw__geo-axial__holdout-hyperbolic__seed-03,powerlaw,geo-axial,hyperbolic,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.053493415936828
